event.uuid,event.classification,event.tlp,event.special_france,event.title.desensitized,event.reliability,event.description,event.date,event.apts,event.metadata,signature.uuid,signature.type,signature.description,siganture.value,signature_component.uuid,signature_component.type,signature_component.reliability,signature_component.metedata,signature_component.value,signature_component.description
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",cde3401b-ac58-4bfe-acf6-934bb6f66d0e,ip-dst,,,cde3401b-ac58-4bfe-acf6-934bb6f66d0e,ip-dst,Bonne,,156.222.65.235,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",5f807e4a-b84a-4cd9-9687-020b50bac6ad,ip-dst,,,5f807e4a-b84a-4cd9-9687-020b50bac6ad,ip-dst,Bonne,,156.222.78.64,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",8ee5698e-9a2d-4447-814e-a4a750f380de,ip-dst,,,8ee5698e-9a2d-4447-814e-a4a750f380de,ip-dst,Bonne,,156.222.94.34,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",b55646b0-617a-4cd5-ba66-f494dccd88a4,ip-dst,,,b55646b0-617a-4cd5-ba66-f494dccd88a4,ip-dst,Bonne,,160.178.109.226,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",a84ddf4a-e7e0-4d33-8205-e500770e4aa9,ip-dst,,,a84ddf4a-e7e0-4d33-8205-e500770e4aa9,ip-dst,Bonne,,160.178.113.149,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",c9a0187f-662f-4b2d-8294-d4fedc83968f,ip-dst,,,c9a0187f-662f-4b2d-8294-d4fedc83968f,ip-dst,Bonne,,160.178.122.34,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",1b029e97-56fe-4c36-9365-2ca8ca23a061,ip-dst,,,1b029e97-56fe-4c36-9365-2ca8ca23a061,ip-dst,Bonne,,160.179.31.245,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",1f5ae3cc-ce6a-4984-9dfd-a9145031bc64,ip-dst,,,1f5ae3cc-ce6a-4984-9dfd-a9145031bc64,ip-dst,Bonne,,171.103.162.14,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",6ff7e997-d4bd-433a-83a2-09a8d8243325,ip-dst,,,6ff7e997-d4bd-433a-83a2-09a8d8243325,ip-dst,Bonne,,176.121.49.36,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",205ff602-9562-4d46-9330-d78dc8e8e90a,ip-dst,,,205ff602-9562-4d46-9330-d78dc8e8e90a,ip-dst,Bonne,,178.149.149.64,
